age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,y,saving,debt
27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,no,35.0,
54,blue-collar,married,primary,no,466,no,no,cellular,4,jul,297,1,-1,0,no,466.0,
43,blue-collar,married,secondary,no,105,no,yes,cellular,4,jul,668,2,-1,0,no,105.0,
31,technician,single,secondary,no,19,no,no,telephone,4,jul,65,2,-1,0,no,19.0,
27,technician,single,secondary,no,126,yes,yes,cellular,4,jul,436,4,-1,0,no,126.0,
28,blue-collar,single,secondary,no,-127,yes,no,cellular,4,jul,1044,3,-1,0,yes,,-127.0
50,blue-collar,married,secondary,no,1329,yes,yes,telephone,4,jul,141,2,-1,0,no,1329.0,
29,blue-collar,single,primary,no,343,no,no,cellular,4,jul,39,2,-1,0,no,343.0,
25,blue-collar,single,secondary,no,192,no,no,telephone,4,jul,112,2,-1,0,no,192.0,
38,blue-collar,married,secondary,no,43,no,yes,cellular,4,jul,135,3,-1,0,no,43.0,
36,technician,single,secondary,no,-272,no,yes,cellular,4,jul,53,6,-1,0,no,,-272.0
32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,138,3,-1,0,no,4805.0,
44,technician,married,tertiary,no,1146,no,no,cellular,4,jul,178,2,-1,0,no,1146.0,
37,blue-collar,married,primary,no,380,yes,yes,cellular,4,jul,548,2,-1,0,no,380.0,
48,services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,no,1355.0,
30,admin.,married,secondary,no,215,no,yes,cellular,4,jul,95,2,-1,0,no,215.0,
54,technician,married,secondary,no,187,no,yes,cellular,4,jul,273,3,-1,0,no,187.0,
36,unemployed,divorced,primary,no,0,no,no,telephone,4,jul,304,3,-1,0,no,0.0,
33,technician,single,secondary,no,555,no,yes,cellular,4,jul,425,2,-1,0,no,555.0,
34,services,married,secondary,no,295,yes,yes,cellular,4,jul,64,1,-1,0,no,295.0,
28,services,single,secondary,no,-116,no,yes,cellular,4,jul,276,1,-1,0,no,,-116.0
33,management,married,secondary,no,4385,no,yes,cellular,4,jul,92,1,-1,0,no,4385.0,
30,services,married,secondary,no,137,no,no,cellular,4,jul,407,1,-1,0,no,137.0,
34,admin.,single,secondary,no,296,no,no,cellular,7,jul,147,4,-1,0,no,296.0,
35,admin.,divorced,secondary,no,534,no,no,cellular,7,jul,148,3,-1,0,no,534.0,
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125,2,-1,0,no,93.0,
36,services,married,secondary,no,-27,yes,yes,cellular,7,jul,151,4,-1,0,no,,-27.0
49,blue-collar,married,primary,no,-157,yes,no,cellular,7,jul,491,3,-1,0,yes,,-157.0
55,blue-collar,married,secondary,no,49,yes,no,cellular,7,jul,494,4,-1,0,yes,49.0,
51,technician,married,secondary,no,216,no,no,cellular,7,jul,615,2,-1,0,yes,216.0,
51,management,married,tertiary,no,1421,yes,no,cellular,7,jul,152,5,-1,0,no,1421.0,
38,blue-collar,married,secondary,no,222,yes,yes,cellular,7,jul,164,5,-1,0,no,222.0,
59,entrepreneur,married,tertiary,no,1728,no,no,cellular,7,jul,575,2,-1,0,no,1728.0,
54,management,divorced,tertiary,no,5253,yes,yes,cellular,7,jul,17,19,-1,0,no,5253.0,
43,management,single,tertiary,no,47,yes,no,cellular,7,jul,316,5,-1,0,no,47.0,
60,entrepreneur,divorced,primary,no,2648,no,no,cellular,7,jul,148,2,-1,0,no,2648.0,
34,services,married,secondary,no,0,no,no,cellular,7,jul,160,3,-1,0,no,0.0,
31,admin.,single,secondary,no,-182,yes,no,cellular,7,jul,181,2,-1,0,no,,-182.0
43,technician,married,secondary,yes,-313,no,yes,cellular,7,jul,89,4,-1,0,no,,-313.0
53,blue-collar,married,primary,no,465,yes,no,cellular,7,jul,111,2,-1,0,no,465.0,
47,blue-collar,married,primary,yes,25,yes,yes,cellular,7,jul,142,3,-1,0,no,25.0,
39,management,married,primary,no,551,no,yes,cellular,7,jul,107,5,-1,0,no,551.0,
56,housemaid,married,primary,no,58,no,yes,cellular,7,jul,227,6,-1,0,no,58.0,
41,services,married,secondary,no,650,yes,no,cellular,7,jul,149,5,-1,0,no,650.0,
41,housemaid,married,primary,no,1618,yes,no,cellular,7,jul,134,2,-1,0,no,1618.0,
60,retired,married,primary,no,-63,yes,no,cellular,7,jul,1434,5,-1,0,no,,-63.0
58,management,married,primary,no,4850,no,no,cellular,7,jul,179,2,-1,0,no,4850.0,
56,blue-collar,married,primary,no,409,yes,no,telephone,7,jul,176,6,-1,0,no,409.0,
36,unemployed,single,primary,no,0,yes,no,telephone,7,jul,63,6,-1,0,no,0.0,
39,management,married,tertiary,no,1007,yes,no,cellular,7,jul,86,2,-1,0,no,1007.0,
46,management,married,primary,no,312,yes,no,cellular,7,jul,113,2,-1,0,no,312.0,
58,blue-collar,divorced,primary,no,820,yes,no,cellular,7,jul,200,4,-1,0,no,820.0,
52,management,married,secondary,no,3369,no,no,cellular,7,jul,196,2,-1,0,no,3369.0,
41,services,married,secondary,no,841,yes,no,cellular,7,jul,250,2,-1,0,no,841.0,
59,blue-collar,married,secondary,no,-1336,no,yes,cellular,7,jul,450,2,-1,0,no,,-1336.0
43,management,divorced,secondary,no,0,no,no,cellular,7,jul,75,3,-1,0,no,0.0,
50,blue-collar,married,primary,no,9301,yes,no,cellular,7,jul,136,4,-1,0,no,9301.0,
49,technician,married,primary,no,486,no,no,telephone,7,jul,229,5,-1,0,no,486.0,
51,self-employed,married,secondary,yes,34,no,yes,cellular,7,jul,200,1,-1,0,no,34.0,
39,technician,single,secondary,no,506,yes,no,cellular,7,jul,718,2,-1,0,yes,506.0,
38,management,married,tertiary,no,1444,yes,no,cellular,7,jul,139,2,-1,0,no,1444.0,
30,services,single,secondary,no,0,yes,no,cellular,7,jul,161,2,-1,0,no,0.0,
41,technician,married,secondary,no,923,yes,no,cellular,7,jul,141,3,-1,0,no,923.0,
45,unemployed,divorced,secondary,no,-44,yes,no,cellular,7,jul,256,2,-1,0,no,,-44.0
54,services,divorced,tertiary,no,413,no,no,cellular,7,jul,39,9,-1,0,no,413.0,
47,admin.,single,secondary,no,3531,yes,no,cellular,7,jul,49,6,-1,0,no,3531.0,
53,management,divorced,tertiary,no,243,yes,no,cellular,7,jul,66,2,-1,0,no,243.0,
41,blue-collar,married,primary,no,484,yes,no,cellular,7,jul,321,3,-1,0,no,484.0,
42,blue-collar,divorced,primary,no,213,yes,no,cellular,7,jul,434,3,-1,0,yes,213.0,
33,services,single,secondary,no,170,no,no,cellular,7,jul,782,1,-1,0,yes,170.0,
34,self-employed,married,tertiary,no,-236,yes,no,cellular,7,jul,118,4,-1,0,no,,-236.0
54,blue-collar,divorced,secondary,no,1613,yes,no,cellular,7,jul,128,3,-1,0,no,1613.0,
37,entrepreneur,married,tertiary,no,555,no,no,cellular,7,jul,104,2,-1,0,no,555.0,
59,admin.,married,secondary,no,1914,yes,no,cellular,7,jul,126,3,-1,0,no,1914.0,
38,technician,married,secondary,no,2220,no,no,cellular,7,jul,87,2,-1,0,no,2220.0,
27,admin.,single,secondary,no,450,yes,no,cellular,7,jul,107,3,-1,0,no,450.0,
59,management,married,tertiary,no,553,yes,no,cellular,7,jul,1272,3,-1,0,yes,553.0,
31,admin.,single,secondary,no,92,yes,no,cellular,7,jul,401,2,-1,0,no,92.0,
45,blue-collar,divorced,primary,no,1805,no,no,cellular,7,jul,758,1,-1,0,no,1805.0,
37,self-employed,married,secondary,no,1523,no,yes,cellular,7,jul,316,2,-1,0,no,1523.0,
42,blue-collar,divorced,secondary,no,3407,no,no,cellular,7,jul,277,2,-1,0,no,3407.0,
40,blue-collar,married,primary,no,254,yes,no,cellular,7,jul,107,3,-1,0,no,254.0,
42,unemployed,married,primary,no,11,no,no,cellular,7,jul,111,3,-1,0,no,11.0,
27,management,single,secondary,no,1609,yes,no,cellular,7,jul,360,3,-1,0,no,1609.0,
45,management,married,tertiary,no,1447,yes,yes,cellular,7,jul,461,2,-1,0,no,1447.0,
43,technician,divorced,tertiary,no,27,no,no,cellular,7,jul,412,4,-1,0,no,27.0,
41,admin.,married,secondary,no,125,no,no,cellular,7,jul,244,4,-1,0,no,125.0,
47,management,married,primary,no,1797,no,no,cellular,7,jul,62,4,-1,0,no,1797.0,
44,blue-collar,married,primary,no,2,no,yes,telephone,7,jul,46,2,-1,0,no,2.0,
40,admin.,married,secondary,no,1395,yes,yes,cellular,7,jul,122,2,-1,0,no,1395.0,
33,technician,divorced,secondary,no,522,no,yes,cellular,7,jul,559,4,-1,0,no,522.0,
36,entrepreneur,divorced,tertiary,no,776,no,yes,cellular,7,jul,722,3,-1,0,yes,776.0,
25,blue-collar,married,primary,no,0,no,no,cellular,7,jul,64,1,-1,0,no,0.0,
45,technician,married,secondary,no,879,no,no,cellular,7,jul,621,2,-1,0,yes,879.0,
27,services,single,secondary,no,266,no,yes,cellular,7,jul,232,1,-1,0,no,266.0,
43,services,married,primary,no,29,no,no,telephone,7,jul,259,8,-1,0,no,29.0,
37,self-employed,married,secondary,no,1633,no,no,cellular,7,jul,629,2,-1,0,yes,1633.0,
48,management,married,tertiary,no,666,yes,no,cellular,7,jul,317,6,-1,0,no,666.0,
30,services,married,secondary,no,-134,yes,yes,cellular,7,jul,61,1,-1,0,no,,-134.0
35,self-employed,married,secondary,no,0,yes,no,telephone,7,jul,126,4,-1,0,no,0.0,
46,unemployed,married,secondary,no,926,no,no,cellular,7,jul,385,5,-1,0,yes,926.0,
43,technician,married,secondary,no,-796,no,no,cellular,7,jul,190,4,-1,0,no,,-796.0
52,retired,married,tertiary,no,493,no,no,cellular,7,jul,61,6,-1,0,no,493.0,
37,services,married,secondary,no,343,yes,yes,cellular,7,jul,74,7,-1,0,no,343.0,
45,technician,married,secondary,no,268,no,no,cellular,7,jul,96,14,-1,0,no,268.0,
54,management,divorced,tertiary,no,92,no,yes,telephone,7,jul,86,4,-1,0,no,92.0,
28,management,single,tertiary,no,0,no,no,cellular,7,jul,94,1,-1,0,no,0.0,
44,services,married,secondary,no,182,yes,yes,cellular,7,jul,209,4,-1,0,no,182.0,
57,admin.,married,secondary,no,1143,no,no,telephone,7,jul,69,3,-1,0,no,1143.0,
46,blue-collar,married,secondary,no,4044,no,no,cellular,7,jul,326,3,-1,0,no,4044.0,
27,blue-collar,single,secondary,no,77,no,yes,cellular,7,jul,497,1,-1,0,no,77.0,
51,technician,married,secondary,no,1327,no,no,cellular,7,jul,21,2,-1,0,no,1327.0,
29,admin.,married,secondary,no,488,no,yes,cellular,7,jul,223,1,-1,0,no,488.0,
57,technician,married,secondary,no,0,no,no,cellular,7,jul,236,1,-1,0,no,0.0,
59,retired,divorced,secondary,no,23,no,no,cellular,7,jul,66,1,-1,0,no,23.0,
57,retired,married,primary,no,808,no,no,telephone,7,jul,274,1,-1,0,no,808.0,
26,services,married,secondary,no,-236,yes,yes,cellular,7,jul,459,1,-1,0,no,,-236.0
36,services,married,secondary,no,-274,no,no,cellular,7,jul,217,1,-1,0,no,,-274.0
35,management,single,tertiary,no,12,no,no,cellular,7,jul,289,1,-1,0,no,12.0,
40,admin.,single,secondary,no,-1,no,no,cellular,7,jul,173,1,-1,0,no,,-1.0
51,blue-collar,married,primary,no,505,no,yes,cellular,7,jul,130,1,-1,0,no,505.0,
45,services,divorced,secondary,no,88,no,yes,cellular,7,jul,332,1,-1,0,no,88.0,
33,blue-collar,single,primary,no,777,no,no,cellular,7,jul,263,1,-1,0,no,777.0,
53,blue-collar,married,primary,no,0,no,no,cellular,7,jul,114,1,-1,0,no,0.0,
39,blue-collar,single,primary,no,366,yes,yes,cellular,7,jul,166,1,-1,0,no,366.0,
43,management,married,tertiary,no,460,no,yes,cellular,7,jul,94,1,-1,0,no,460.0,
